attributes,count,unique,top,freq,mean,std,min,25%,50%,75%,max
pm_energy_performance_metrics:sourceIntensityAdjustedToCurrentYear,157.0,,,,160.291082803,100.549829703,0.0,123.5,152.5,192.0,1007.7
pm_energy_performance_metrics:sourceIntensityWN,259.0,,,,209.353281853,410.000918248,0.0,125.55,168.8,220.2,6486.9
pm_energy_performance_metrics:sourceTotal,255.0,,,,17881598.5965,31925462.9776,0.0,4224761.5,9348618.5,16517999.95,329569376.4
pm_energy_performance_metrics:sourceTotalWN,267.0,,,,16797491.4472,29256107.1044,0.0,4412945.85,9296713.7,15865661.15,294150362.8
pm_energy_star_certification:energyStarCertificationApplicationStatus,3,1,Under Review,3,,,,,,,
pm_energy_star_certification:energyStarCertificationEligibility,273,1,No,273,,,,,,,
pm_energy_star_certification:energyStarCertificationLastApprovalDate,3.0,,,,1467748800.0,4589241.81973,1465099200.0,1465099200.0,1465099200.0,1469073600.0,1473048000.0
pm_energy_star_certification:energyStarCertificationNextEligibleDate,3.0,,,,1480482000.0,0.0,1480482000.0,1480482000.0,1480482000.0,1480482000.0,1480482000.0
pm_energy_star_certification:energyStarCertificationProfilePublished,273,1,No,273,,,,,,,
pm_energy_star_certification:energyStarCertificationYears,3,1,2016,3,,,,,,,
pm_greenhouse_gas_emissions:biomassGHGEmissions,273.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pm_greenhouse_gas_emissions:biomassGHGEmissionsIntensity,262.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pm_greenhouse_gas_emissions:directGHGEmissions,271.0,,,,129.592250923,410.407210218,0.0,4.6,57.3,137.15,6248.4
pm_greenhouse_gas_emissions:directGHGEmissionsIntensity,260.0,,,,1.50115384615,1.78499716518,0.0,0.275,1.3,2.1,19.8
pm_greenhouse_gas_emissions:egridOutputEmissionsRate,273.0,,,,112.486813187,1.87745185521,110.9,110.9,110.9,114.7,114.7
pm_greenhouse_gas_emissions:electricDistributionUtility,273,2,Potomac Electric Power Co,159,,,,,,,
pm_greenhouse_gas_emissions:indirectGHGEmissions,269.0,,,,509.805204461,887.324875748,0.0,129.9,266.9,487.3,7678.9
pm_greenhouse_gas_emissions:indirectGHGEmissionsIntensity,261.0,,,,6.44022988506,14.8739224026,0.0,3.4,4.9,6.6,236.9
pm_greenhouse_gas_emissions:medianTotalGHGEmissions,243.0,,,,729.31563786,1151.27875156,0.6,212.6,417.8,638.7,9361.7
pm_greenhouse_gas_emissions:regionalPowerGrid,273,2,(RFCE) RFCE (Mid Atlantic),159,,,,,,,
pm_greenhouse_gas_emissions:totalGHGEmissions,255.0,,,,788.347843137,1416.06370196,0.0,188.0,411.4,738.75,15022.1
pm_greenhouse_gas_emissions:totalGHGEmissionsIntensity,259.0,,,,7.99189189189,15.0065712961,0.0,4.9,6.5,8.6,236.9
pm_natural_gas_meter_id,242,242,13251821,1,,,,,,,
pm_property_id,287.0,,,,3802893.19512,740184.956571,3365764.0,3365957.0,3412541.0,4328799.5,6175381.0
pm_property_information:abilityToShareForward,273,1,Yes,273,,,,,,,
pm_property_information:address1,273,273,4400 BROOKS STREET NE,1,,,,,,,
pm_property_information:address2,2,2,20001,1,,,,,,,
pm_property_information:city,273,3,Washington,271,,,,,,,
pm_property_information:constructionStatus,273,2,Existing,265,,,,,,,
pm_property_information:coolingDegreeDaysCDD,273.0,,,,1775.44688645,85.3189405531,1553.0,1710.0,1710.0,1862.0,1936.0
pm_property_information:country,273,1,US,273,,,,,,,
pm_property_information:grossFloorArea,273,241,0,9,,,,,,,
pm_property_information:heatingDegreeDaysHDD,273.0,,,,3552.50915751,175.732774939,3252.0,3415.0,3641.0,3641.0,4217.0
pm_property_information:isFederalProperty,273,1,False,273,,,,,,,
pm_property_information:lastUpdateDate,273.0,,,,1492505706.67,15903753.6188,1470618691.0,1475686446.0,1504757564.0,1504757565.0,1530211210.0
pm_property_information:myPermissions,273,1,Full Access,273,,,,,,,
pm_property_information:name,273,272,Sixth District Station,2,,,,,,,
pm_property_information:notes,92,79,"School has solar (MA, 11/16)",12,,,,,,,
pm_property_information:numberOfBuildings,273.0,,,,0.904761904762,0.351068796278,0.0,1.0,1.0,1.0,3.0
pm_property_information:numberOfPeopleWithAccess,273.0,,,,8.70695970696,2.45739937302,1.0,8.0,8.0,11.0,13.0
pm_property_information:occupancyPercentage,273.0,,,,90.7692307692,28.5777102015,0.0,100.0,100.0,100.0,100.0
pm_property_information:peopleWithAccess,273,158,"Department of Energy and Environment Government of the District of Columbia, Leah Boggs, DC BBC Account, Clay Teeter, Beth Cushing, Rimas Gulbinas, Maalka PortfolioManager, DC DEPARTMENT OF GENERAL SERVICES",11,,,,,,,
pm_property_information:postalCode,273,20,20002,39,,,,,,,
pm_property_information:primaryFunction,273,25,K-12 School,124,,,,,,,
pm_property_information:propGrossFloorArea,273.0,,,,94095.656044,119107.273654,0.0,23903.0,60200.0,105500.0,850354.0
pm_property_information:propertyDataAdministrator,273,1,DC DEPARTMENT OF GENERAL SERVICES,273,,,,,,,
pm_property_information:propertyDataAdministratorAccountId,273,1,24685,273,,,,,,,
pm_property_information:propertyDataAdministratorEmail,273,1,monica.andrews@dc.gov,273,,,,,,,
pm_property_information:propertyFloorAreaBuildingsAndParking,273.0,,,,96535.9417582,128299.510372,0.0,23903.0,60200.0,105500.0,991326.0
pm_property_information:propertyFloorAreaParking,9.0,,,,74577.5555556,68014.1605111,500.0,24152.0,53944.0,140972.0,170455.0
pm_property_information:referencePropertyTypeMedian,262,17,CBECS - Elementary/Middle & High School,129,,,,,,,
pm_property_information:serviceAndProductProvider,64,1,None,64,,,,,,,
pm_property_information:state,273,1,DC,273,,,,,,,
pm_property_information:systemDefinedPropertyType,262,24,K-12 School,129,,,,,,,
pm_property_information:thirdPartyCertification,14,1,LEED,14,,,,,,,
pm_property_information:thirdPartyCertificationDateAchieved,14,14,10/02/2012,1,,,,,,,
pm_property_information:thirdPartyCertificationDateAnticipated,14,14,11/08/2009,1,,,,,,,
pm_property_information:weatherStationId,273,1,724050,273,,,,,,,
pm_property_information:weatherStationName,273,1,WASHINGTON/NATIONAL,273,,,,,,,
pm_property_information:yearBuilt,273,89,1000,84,,,,,,,
pm_solar_meter_ids:3517030,1,1,26470180,1,,,,,,,
pm_solar_meter_ids:3593072,1,1,26470195,1,,,,,,,
pm_solar_meter_ids:3593741,1,1,26470199,1,,,,,,,
pm_solar_meter_ids:3594563,1,1,26470155,1,,,,,,,
pm_solar_meter_ids:3594565,1,1,26470160,1,,,,,,,
pm_solar_meter_ids:3594566,1,1,26470152,1,,,,,,,
pm_solar_meter_ids:3594567,1,1,26470183,1,,,,,,,
pm_solar_meter_ids:3594568,1,1,26470147,1,,,,,,,
pm_solar_meter_ids:3594569,1,1,26470016,1,,,,,,,
pm_solar_meter_ids:3594570,1,1,26470162,1,,,,,,,
pm_solar_meter_ids:3594572,1,1,26469373,1,,,,,,,
pm_solar_meter_ids:3594588,1,1,26470191,1,,,,,,,
pm_solar_meter_ids:3594589,1,1,26470144,1,,,,,,,
pm_solar_meter_ids:3594591,1,1,26470164,1,,,,,,,
pm_solar_meter_ids:3594592,1,1,26470202,1,,,,,,,
pm_solar_meter_ids:3595910,1,1,26470170,1,,,,,,,
pm_solar_meter_ids:3598447,1,1,26470187,1,,,,,,,
pm_solar_meter_ids:3600754,1,1,26470204,1,,,,,,,
pm_solar_meter_ids:3604448,1,1,26470150,1,,,,,,,
pm_solar_meter_ids:3607468,1,1,26470189,1,,,,,,,
pm_solar_meter_ids:3607553,1,1,26469955,1,,,,,,,
pm_solar_meter_ids:3621025,1,1,26470193,1,,,,,,,
pm_solar_meter_ids:3621026,1,1,26470172,1,,,,,,,
pm_solar_meter_ids:3626434,1,1,26470168,1,,,,,,,
pm_solar_meter_ids:3627066,1,1,26470206,1,,,,,,,
pm_solar_meter_ids:3627637,1,1,26470197,1,,,,,,,
pm_solar_meter_ids:3629693,1,1,26470158,1,,,,,,,
pm_solar_meter_ids:3659233,1,1,26470174,1,,,,,,,
pm_solar_meter_ids:3661778,1,1,27504228,1,,,,,,,
pm_solar_meter_ids:3664767,1,1,27201058,1,,,,,,,
pm_solar_meter_ids:3664768,1,1,27201057,1,,,,,,,
pm_solar_meter_ids:3664783,1,1,27201060,1,,,,,,,
pm_solar_meter_ids:3665495,1,1,31696732,1,,,,,,,
pm_solar_meter_ids:3669310,1,1,36266812,1,,,,,,,
pm_solar_meter_ids:3695731,1,1,39405140,1,,,,,,,
pm_solar_meter_ids:3695733,1,1,39405056,1,,,,,,,
pm_solar_meter_ids:3695735,1,1,39405165,1,,,,,,,
pm_solar_meter_ids:3695933,1,1,39405082,1,,,,,,,
pm_solar_meter_ids:3699231,1,1,39405111,1,,,,,,,
pm_solar_meter_ids:3699232,1,1,39405128,1,,,,,,,
pm_solar_meter_ids:3701603,1,1,39405145,1,,,,,,,
pm_solar_meter_ids:3709411,1,1,39405096,1,,,,,,,
pm_solar_meter_ids:3723799,1,1,39405108,1,,,,,,,
pm_solar_meter_ids:3723800,1,1,39405121,1,,,,,,,
pm_solar_meter_ids:3749570,1,1,39405126,1,,,,,,,
pm_solar_meter_ids:3756852,1,1,40982354,1,,,,,,,
pm_solar_meter_ids:3777299,1,1,41931724,1,,,,,,,
pm_solar_meter_ids:3777301,1,1,41931762,1,,,,,,,
pm_solar_meter_ids:Solar Output,1,1,26876696,1,,,,,,,
pm_use_details_metrics:adultEducationComputerDensity,1.0,,,,20.2,,20.2,20.2,20.2,20.2,20.2
pm_use_details_metrics:adultEducationGrossFloorArea,1.0,,,,15000.0,,15000.0,15000.0,15000.0,15000.0,15000.0
pm_use_details_metrics:adultEducationNumberOfComputers,1.0,,,,303.0,,303.0,303.0,303.0,303.0,303.0
pm_use_details_metrics:adultEducationNumberOfWorkersOnMainShift,1.0,,,,45.0,,45.0,45.0,45.0,45.0,45.0
pm_use_details_metrics:adultEducationWeeklyOperatingHours,1.0,,,,52.5,,52.5,52.5,52.5,52.5,52.5
pm_use_details_metrics:adultEducationWorkerDensity,1.0,,,,3.0,,3.0,3.0,3.0,3.0,3.0
pm_use_details_metrics:fireStationGrossFloorArea,13.0,,,,23853.0,13583.3613722,10080.0,15000.0,19315.0,25032.0,60000.0
pm_use_details_metrics:fitnessCenterHealthClubGymComputerDensity,4.0,,,,0.4875625,0.390022167778,0.0516,0.2215425,0.502045,0.768065,0.89456
pm_use_details_metrics:fitnessCenterHealthClubGymGrossFloorArea,4.0,,,,67693.25,84657.3348245,16768.0,19690.0,30102.5,78105.75,193800.0
pm_use_details_metrics:fitnessCenterHealthClubGymNumberOfComputers,4.0,,,,12.75,2.62995563968,10.0,10.75,13.0,15.0,15.0
pm_use_details_metrics:fitnessCenterHealthClubGymNumberOfWorkersOnMainShift,4.0,,,,6.25,3.20156211872,4.0,4.75,5.0,6.5,11.0
pm_use_details_metrics:fitnessCenterHealthClubGymWeeklyOperatingHours,4.0,,,,58.875,7.66349572106,48.5,57.125,60.0,61.75,67.0
pm_use_details_metrics:fitnessCenterHealthClubGymWorkerDensity,4.0,,,,0.1989375,0.124012662626,0.0258,0.1516275,0.23588,0.28319,0.29819
pm_use_details_metrics:hospitalGeneralMedicalSurgicalFullTimeEquivalentFteWorkers,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0
pm_use_details_metrics:hospitalGeneralMedicalSurgicalFullTimeEquivalentFteWorkersDensity,1.0,,,,0.00222,,0.00222,0.00222,0.00222,0.00222,0.00222
pm_use_details_metrics:hospitalGeneralMedicalSurgicalGrossFloorArea,1.0,,,,450000.0,,450000.0,450000.0,450000.0,450000.0,450000.0
pm_use_details_metrics:hospitalGeneralMedicalSurgicalLicensedBedCapacity,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0
pm_use_details_metrics:hospitalGeneralMedicalSurgicalLicensedBedCapacityDensity,1.0,,,,0.00222,,0.00222,0.00222,0.00222,0.00222,0.00222
pm_use_details_metrics:hospitalGeneralMedicalSurgicalMriDensity,1.0,,,,0.00222,,0.00222,0.00222,0.00222,0.00222,0.00222
pm_use_details_metrics:hospitalGeneralMedicalSurgicalNumberOfMriMachines,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0
pm_use_details_metrics:hospitalGeneralMedicalSurgicalNumberOfStaffedBeds,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0
pm_use_details_metrics:hospitalGeneralMedicalSurgicalNumberOfWorkersOnMainShift,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0
pm_use_details_metrics:hospitalGeneralMedicalSurgicalNumberOfWorkersOnMainShiftDensity,1.0,,,,0.00222,,0.00222,0.00222,0.00222,0.00222,0.00222
pm_use_details_metrics:hospitalGeneralMedicalSurgicalOnsiteLaundryFacilitiy,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
pm_use_details_metrics:hospitalGeneralMedicalSurgicalOwnedBy,1,1,Governmental,1,,,,,,,
pm_use_details_metrics:hospitalGeneralMedicalSurgicalPercentThatCanBeCooled,1.0,,,,100.0,,100.0,100.0,100.0,100.0,100.0
pm_use_details_metrics:hospitalGeneralMedicalSurgicalPercentThatCanBeHeated,1.0,,,,100.0,,100.0,100.0,100.0,100.0,100.0
pm_use_details_metrics:hospitalGeneralMedicalSurgicalStaffedBedDensity,1.0,,,,0.00222,,0.00222,0.00222,0.00222,0.00222,0.00222
pm_use_details_metrics:k12SchoolComputerDensity,129.0,,,,1.26959713178,0.727106267915,0.0,0.71599,1.2369,1.75,4.07609
pm_use_details_metrics:k12SchoolCookingFacilities,131.0,4.0,100.0,123.0,,,,,,,
pm_use_details_metrics:k12SchoolGrossFloorArea,131.0,,,,105181.450382,73986.8881595,0.0,63350.0,79700.0,114162.0,394000.0
pm_use_details_metrics:k12SchoolGymnasiumFloorArea,131.0,,,,666.870229008,4281.20028712,0.0,0.0,0.0,0.0,40000.0
pm_use_details_metrics:k12SchoolHighSchool,131.0,3.0,0.0,108.0,,,,,,,
pm_use_details_metrics:k12SchoolMonthsInUse,102.0,,,,10.0898039216,0.404467576672,10.0,10.0,10.0,10.0,12.0
pm_use_details_metrics:k12SchoolNumberOfComputers,131.0,,,,126.837862595,117.226207112,0.0,64.0,95.0,147.0,623.0
pm_use_details_metrics:k12SchoolNumberOfWalkinRefrigerationFreezorUnits,131.0,,,,1.63465648855,0.90613065598,0.0,1.0,2.0,2.0,4.0
pm_use_details_metrics:k12SchoolNumberOfWorkersOnMainShift,131.0,,,,75.0265648855,51.9329355074,0.0,47.12,59.83,84.74,289.0
