feature_name,feature_type,usetype_applicable,constype_applicable,operationtype_applicable
BG_all_meanvs95_max,dailyratios,usetype,constype,operationtype
BG_all_meanvs95_mean,dailyratios,usetype,constype,operationtype
BG_all_meanvs95_min,dailyratios,usetype,constype,operationtype
BG_all_meanvs95_std,dailyratios,usetype,constype,operationtype
BG_all_meanvsmax_max,dailyratios,usetype,constype,operationtype
BG_all_meanvsmax_mean,dailyratios,usetype,constype,operationtype
BG_all_meanvsmax_min,dailyratios,usetype,constype,operationtype
BG_all_meanvsmax_std,dailyratios,usetype,constype,operationtype
BG_all_minvs95_max,dailyratios,usetype,constype,operationtype
BG_all_minvs95_mean,dailyratios,usetype,constype,operationtype
BG_all_minvs95_min,dailyratios,usetype,constype,operationtype
BG_all_minvs95_std,dailyratios,usetype,constype,operationtype
BG_all_minvsmax_max,dailyratios,usetype,constype,operationtype
BG_all_minvsmax_mean,dailyratios,usetype,constype,operationtype
BG_all_minvsmax_min,dailyratios,usetype,constype,operationtype
BG_all_minvsmax_std,dailyratios,usetype,constype,operationtype
BG_breakouts_max_10_1_2,breakouts,usetype,constype,operationtype
BG_breakouts_max_10_1_3,breakouts,usetype,constype,operationtype
BG_breakouts_max_10_1_5,breakouts,usetype,constype,operationtype
BG_breakouts_max_10_2_2,breakouts,usetype,constype,operationtype
BG_breakouts_max_10_2_3,breakouts,usetype,constype,operationtype
BG_breakouts_max_10_2_5,breakouts,usetype,constype,operationtype
BG_breakouts_max_10_5_2,breakouts,usetype,constype,operationtype
BG_breakouts_max_10_5_3,breakouts,usetype,constype,operationtype
BG_breakouts_max_10_5_5,breakouts,usetype,constype,operationtype
BG_breakouts_max_30_1_2,breakouts,usetype,constype,operationtype
BG_breakouts_max_30_1_3,breakouts,usetype,constype,operationtype
BG_breakouts_max_30_1_5,breakouts,usetype,constype,operationtype
BG_breakouts_max_30_2_2,breakouts,usetype,constype,operationtype
BG_breakouts_max_30_2_3,breakouts,usetype,constype,operationtype
BG_breakouts_max_30_2_5,breakouts,usetype,constype,operationtype
BG_breakouts_max_30_5_2,breakouts,usetype,constype,operationtype
BG_breakouts_max_30_5_3,breakouts,usetype,constype,operationtype
BG_breakouts_max_30_5_5,breakouts,usetype,constype,operationtype
BG_breakouts_max_60_1_2,breakouts,usetype,constype,operationtype
BG_breakouts_max_60_1_3,breakouts,usetype,constype,operationtype
BG_breakouts_max_60_1_5,breakouts,usetype,constype,operationtype
BG_breakouts_max_60_2_2,breakouts,usetype,constype,operationtype
BG_breakouts_max_60_2_3,breakouts,usetype,constype,operationtype
BG_breakouts_max_60_2_5,breakouts,usetype,constype,operationtype
BG_breakouts_max_60_5_2,breakouts,usetype,constype,operationtype
BG_breakouts_max_60_5_3,breakouts,usetype,constype,operationtype
BG_breakouts_max_60_5_5,breakouts,usetype,constype,operationtype
BG_consumpstats_Aug_max,consumptionstats,usetype,,
BG_consumpstats_Aug_mean,consumptionstats,usetype,,
BG_consumpstats_Aug_min,consumptionstats,usetype,,
BG_consumpstats_Aug_mn2mx,consumptionstats,usetype,,
BG_consumpstats_Jan_max,consumptionstats,usetype,,
BG_consumpstats_Jan_mean,consumptionstats,usetype,,
BG_consumpstats_Jan_min,consumptionstats,usetype,,
BG_consumpstats_dailykwmaxvar,consumptionstats,usetype,,
BG_consumpstats_dailykwminvar,consumptionstats,usetype,,operationtype
BG_consumpstats_dailykwvar,consumptionstats,usetype,,operationtype
BG_consumpstats_kw90,consumptionstats,usetype,,operationtype
BG_consumpstats_kwmean,consumptionstats,usetype,,operationtype
BG_consumpstats_kwmeanannual,consumptionstats,usetype,,operationtype
BG_consumpstats_kwmeansummer,consumptionstats,usetype,,operationtype
BG_consumpstats_kwmeanwinter,consumptionstats,usetype,,operationtype
BG_consumpstats_kwtotal,consumptionstats,usetype,,operationtype
BG_consumpstats_kwtotalApr,consumptionstats,usetype,,
BG_consumpstats_kwtotalAug,consumptionstats,usetype,,
BG_consumpstats_kwtotalDec,consumptionstats,usetype,,
BG_consumpstats_kwtotalFeb,consumptionstats,usetype,,
BG_consumpstats_kwtotalJan,consumptionstats,usetype,,
BG_consumpstats_kwtotalJul,consumptionstats,usetype,,
BG_consumpstats_kwtotalJun,consumptionstats,usetype,,
BG_consumpstats_kwtotalMar,consumptionstats,usetype,,
BG_consumpstats_kwtotalMay,consumptionstats,usetype,,
BG_consumpstats_kwtotalNov,consumptionstats,usetype,,
BG_consumpstats_kwtotalOct,consumptionstats,usetype,,
BG_consumpstats_kwtotalSep,consumptionstats,usetype,,
BG_consumpstats_kwvar,consumptionstats,usetype,,operationtype
BG_consumpstats_kwvarsummer,consumptionstats,usetype,,
BG_consumpstats_kwvarwinter,consumptionstats,usetype,,
BG_consumpstats_max,consumptionstats,usetype,,operationtype
BG_consumpstats_max97,consumptionstats,usetype,,operationtype
BG_consumpstats_maxMA,consumptionstats,usetype,,operationtype
BG_consumpstats_maxdaydate,consumptionstats,usetype,,operationtype
BG_consumpstats_maxdaypct,consumptionstats,usetype,,operationtype
BG_consumpstats_maxdaytout,consumptionstats,usetype,,operationtype
BG_consumpstats_maxhrdate,consumptionstats,usetype,,operationtype
BG_consumpstats_maxhrkw,consumptionstats,usetype,,operationtype
BG_consumpstats_maxhrtout,consumptionstats,usetype,,operationtype
BG_consumpstats_mean,consumptionstats,usetype,,operationtype
BG_consumpstats_min,consumptionstats,usetype,,operationtype
BG_consumpstats_min3,consumptionstats,usetype,,operationtype
BG_consumpstats_range,consumptionstats,usetype,,operationtype
BG_consumpstats_t10kw,consumptionstats,usetype,,operationtype
BG_consumpstats_t10t,consumptionstats,usetype,,
BG_consumpstats_t90t,consumptionstats,usetype,,
BG_consumpstatsdaykw,consumptionstats,usetype,,operationtype
BG_consumpstatsdaytout,consumptionstats,usetype,,operationtype
BG_consumpstatsmaxdaykw,consumptionstats,usetype,,operationtype
BG_consumpstatst_90kw,consumptionstats,usetype,,operationtype
BG_dayfilterfreq_3_2h_max,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_3_2h_mean,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_3_2h_min,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_3_2h_std,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_3_4h_max,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_3_4h_mean,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_3_4h_min,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_3_4h_std,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_3_6h_max,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_3_6h_mean,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_3_6h_min,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_3_6h_std,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_3_8h_max,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_3_8h_mean,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_3_8h_min,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_3_8h_std,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_5_2h_max,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_5_2h_mean,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_5_2h_min,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_5_2h_std,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_5_4h_max,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_5_4h_mean,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_5_4h_min,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_5_4h_std,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_5_6h_max,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_5_6h_mean,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_5_6h_min,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_5_6h_std,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_5_8h_max,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_5_8h_mean,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_5_8h_min,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_5_8h_std,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_7_2h_max,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_7_2h_mean,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_7_2h_min,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_7_2h_std,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_7_4h_max,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_7_4h_mean,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_7_4h_min,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_7_4h_std,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_7_6h_max,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_7_6h_mean,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_7_6h_min,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_7_6h_std,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_7_8h_max,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_7_8h_mean,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_7_8h_min,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_7_8h_std,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_9_2h_max,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_9_2h_mean,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_9_2h_min,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_9_2h_std,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_9_4h_max,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_9_4h_mean,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_9_4h_min,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_9_4h_std,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_9_6h_max,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_9_6h_mean,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_9_6h_min,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_9_6h_std,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_9_8h_max,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_9_8h_mean,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_9_8h_min,dayfilter,usetype,constype,operationtype
BG_dayfilterfreq_9_8h_std,dayfilter,usetype,constype,operationtype
BG_eemeter_baseload,eemeter,usetype,,operationtype
BG_eemeter_coolbalpt,eemeter,usetype,constype,operationtype
BG_eemeter_cooling_max,eemeter,usetype,,operationtype
BG_eemeter_cooling_mean,eemeter,usetype,,operationtype
BG_eemeter_cooling_min,eemeter,usetype,,operationtype
BG_eemeter_cooling_std,eemeter,usetype,,operationtype
BG_eemeter_coolslope,eemeter,usetype,,operationtype
BG_eemeter_cvrmse,eemeter,usetype,constype,operationtype
BG_eemeter_heatbalpt,eemeter,usetype,constype,operationtype
BG_eemeter_heating_max,eemeter,usetype,,operationtype
BG_eemeter_heating_mean,eemeter,usetype,,operationtype
BG_eemeter_heating_min,eemeter,usetype,,operationtype
