building_name,BG_eemeter_cooling_mean,BG_eemeter_cooling_std,BG_eemeter_cooling_min,BG_eemeter_cooling_max,BG_eemeter_heating_mean,BG_eemeter_heating_std,BG_eemeter_heating_min,BG_eemeter_heating_max,BG_eemeter_baseload,BG_eemeter_heatbalpt,BG_eemeter_heatslope,BG_eemeter_coolbalpt,BG_eemeter_coolslope,BG_eemeter_nmbe,BG_eemeter_cvrmse
PrimClass_Everett,0.00111218002441,0.000633262854541,4.71403397636e-10,0.00253178912274,9.47985876015e-05,5.892677865e-05,1.94699369844e-11,0.00027085283585,52.4243913381,10.3708344622,0.169092418793,13.5740709956,1.50129217123,-0.158667195732,23.2181566082
UnivClass_Clifford,0.0,0.0,0.0,0.0,0.00024940232459,0.000175647263985,5.19267811285e-06,0.000673496422079,33.8126844054,5.17499911251,0.146260667798,22.5830171166,0.0,-0.000276131174661,7.65976353366
Office_Elizabeth,0.00162758517954,0.00117738337516,2.16385764528e-05,0.00535280838371,0.0,0.0,0.0,0.0,201.82132429,6.62770541966,0.0,17.941176479,18.0053759105,0.0237192475076,40.2191308243
Office_Ellie,0.000862052572881,0.000643883849609,3.10869128788e-05,0.00329299892653,0.00182945095026,0.00101390863353,4.11987901602e-06,0.00457216563988,314.872644644,12.709567253,15.0855804646,13.2250030659,12.7467882241,0.0235296838103,29.4423238022
PrimClass_Elisabeth,0.000752545648884,0.000435179673511,7.59463471236e-07,0.00169666615986,0.0,0.0,0.0,0.0,177.402499918,7.41137103584,0.0,13.0,1.93217279959,6.3017088412e-06,41.1262139076
Office_Cristina,0.0,0.0,0.0,0.0,0.00111447871002,0.000772073667602,7.96217622103e-06,0.00300254977742,73.4109922129,16.0,0.731290571916,24.0,0.0,1.26023851286e-06,15.6024307433
PrimClass_Jolie,0.00498766832887,0.00103123223322,0.00425847702378,0.00571685963396,0.00234131640383,0.00146177816691,8.07563619539e-06,0.00600019769317,24.3784471307,16.0,1.13459458291,18.583333404,8.19587692781,0.00129750677988,58.7547471029
PrimClass_Jaylin,0.00797805497499,0.00164951367878,0.00681167266707,0.00914443728292,0.00193945355899,0.00121087900107,6.68953642262e-06,0.00497032556199,45.6546162084,16.0,1.40416045325,18.5833333358,19.5862649568,0.000213781474709,49.5045940806
Office_Jesus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.899603562,8.96018450758,0.0,20.0168524027,0.0,1.96713037222e-06,27.5295151707
PrimClass_Esmeralda,0.00588906849898,0.00315487592147,4.77825085182e-05,0.0127635512459,0.0,0.0,0.0,0.0,228.480053711,7.22339514053,0.0,13.0,17.3247350637,3.06092900944e-05,24.3475270975
