timestamp,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimePDT,TimePST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,timestamp
2012-01-01 00:53:00,Overcast,2012-01-01 08:53:00<br />,-2.2,,27.8,63,,1025.7,4.4,,12:53 AM,16.1,ESE,18.5,120,2012-01-01 00:53:00
2012-01-01 01:53:00,Overcast,2012-01-01 09:53:00<br />,-1.7,,-,67,,1026.5,3.9,,1:53 AM,16.1,ESE,13.0,120,2012-01-01 01:53:00
2012-01-01 02:53:00,Overcast,2012-01-01 10:53:00<br />,-1.1,,-,68,,1026.0,4.4,,2:53 AM,16.1,East,16.7,100,2012-01-01 02:53:00
2012-01-01 03:53:00,Overcast,2012-01-01 11:53:00<br />,-2.2,,-,60,,1025.8,5.0,,3:53 AM,16.1,ESE,14.8,110,2012-01-01 03:53:00
2012-01-01 04:53:00,Overcast,2012-01-01 12:53:00<br />,-1.7,,-,62,,1025.3,5.0,,4:53 AM,16.1,ESE,14.8,110,2012-01-01 04:53:00
2012-01-01 05:53:00,Scattered Clouds,2012-01-01 13:53:00<br />,-1.7,,29.6,62,,1024.8,5.0,,5:53 AM,16.1,ESE,18.5,120,2012-01-01 05:53:00
2012-01-01 06:53:00,Scattered Clouds,2012-01-01 14:53:00<br />,-1.1,,-,62,,1025.1,5.6,,6:53 AM,16.1,ESE,13.0,110,2012-01-01 06:53:00
2012-01-01 07:53:00,Partly Cloudy,2012-01-01 15:53:00<br />,-1.1,,-,62,,1025.1,5.6,,7:53 AM,16.1,East,13.0,100,2012-01-01 07:53:00
2012-01-01 08:53:00,Mostly Cloudy,2012-01-01 16:53:00<br />,-1.7,,-,55,,1025.2,6.7,,8:53 AM,16.1,ESE,14.8,110,2012-01-01 08:53:00
2012-01-01 09:53:00,Partly Cloudy,2012-01-01 17:53:00<br />,-1.1,,-,56,,1025.3,7.2,,9:53 AM,16.1,ESE,11.1,120,2012-01-01 09:53:00
2012-01-01 10:53:00,Clear,2012-01-01 18:53:00<br />,-1.1,,-,54,,1024.4,7.8,,10:53 AM,16.1,Variable,9.3,0,2012-01-01 10:53:00
2012-01-01 11:53:00,Clear,2012-01-01 19:53:00<br />,-1.7,,27.8,48,,1023.8,8.9,,11:53 AM,16.1,ESE,13.0,120,2012-01-01 11:53:00
2012-01-01 12:53:00,Clear,2012-01-01 20:53:00<br />,-1.1,,-,48,,1022.8,9.4,,12:53 PM,16.1,ESE,13.0,120,2012-01-01 12:53:00
2012-01-01 13:53:00,Clear,2012-01-01 21:53:00<br />,-1.1,,35.2,46,,1022.0,10.0,,1:53 PM,16.1,ESE,24.1,120,2012-01-01 13:53:00
2012-01-01 14:53:00,Clear,2012-01-01 22:53:00<br />,-0.6,,-,45,,1021.5,11.1,,2:53 PM,16.1,ESE,20.4,110,2012-01-01 14:53:00
2012-01-01 15:53:00,Clear,2012-01-01 23:53:00<br />,-1.1,,-,44,,1021.0,10.6,,3:53 PM,16.1,ESE,14.8,120,2012-01-01 15:53:00
2012-01-01 16:53:00,Clear,2012-01-02 00:53:00<br />,-1.7,,-,44,,1021.0,10.0,,4:53 PM,16.1,Variable,5.6,0,2012-01-01 16:53:00
2012-01-01 17:53:00,Clear,2012-01-02 01:53:00<br />,-1.7,,-,48,,1020.5,8.9,,5:53 PM,16.1,ESE,11.1,120,2012-01-01 17:53:00
2012-01-01 18:53:00,Clear,2012-01-02 02:53:00<br />,-2.2,,-,46,,1020.4,8.9,,6:53 PM,16.1,ESE,11.1,120,2012-01-01 18:53:00
2012-01-01 19:53:00,Clear,2012-01-02 03:53:00<br />,-2.2,,-,46,,1019.9,8.9,,7:53 PM,16.1,ESE,16.7,120,2012-01-01 19:53:00
2012-01-01 20:53:00,Clear,2012-01-02 04:53:00<br />,-2.2,,-,46,,1019.2,8.9,,8:53 PM,16.1,ESE,9.3,120,2012-01-01 20:53:00
2012-01-01 21:53:00,Clear,2012-01-02 05:53:00<br />,-2.8,,-,46,,1018.5,8.3,,9:53 PM,16.1,ESE,11.1,110,2012-01-01 21:53:00
2012-01-01 22:53:00,Clear,2012-01-02 06:53:00<br />,-3.0,,-,46,,1018.2,8.0,,10:53 PM,16.1,ESE,5.6,120,2012-01-01 22:53:00
2012-01-01 23:53:00,Clear,2012-01-02 07:53:00<br />,-2.8,,-,46,,1018.2,8.3,,11:53 PM,16.1,ESE,11.1,110,2012-01-01 23:53:00
2012-01-02 00:53:00,Clear,2012-01-02 08:53:00<br />,-2.8,,-,44,,1017.6,8.9,,12:53 AM,16.1,ESE,16.7,120,2012-01-02 00:53:00
2012-01-02 01:53:00,Clear,2012-01-02 09:53:00<br />,-2.8,,-,44,,1017.0,8.9,,1:53 AM,16.1,SE,7.4,130,2012-01-02 01:53:00
2012-01-02 02:53:00,Clear,2012-01-02 10:53:00<br />,-2.8,,-,41,,1016.8,10.0,,2:53 AM,16.1,Variable,11.1,0,2012-01-02 02:53:00
2012-01-02 03:53:00,Clear,2012-01-02 11:53:00<br />,-2.8,,-,46,,1016.3,8.3,,3:53 AM,16.1,ESE,14.8,120,2012-01-02 03:53:00
2012-01-02 04:53:00,Clear,2012-01-02 12:53:00<br />,-2.8,,-,46,,1015.4,8.3,,4:53 AM,16.1,Variable,9.3,0,2012-01-02 04:53:00
2012-01-02 05:53:00,Clear,2012-01-02 13:53:00<br />,-2.8,,-,44,,1014.8,8.9,,5:53 AM,16.1,Variable,9.3,0,2012-01-02 05:53:00
2012-01-02 06:53:00,Clear,2012-01-02 14:53:00<br />,-2.2,,-,50,,1014.7,7.8,,6:53 AM,16.1,Variable,7.4,0,2012-01-02 06:53:00
2012-01-02 07:53:00,Clear,2012-01-02 15:53:00<br />,-2.0,,-,50,,1014.1,8.0,,7:53 AM,16.1,ESE,7.4,120,2012-01-02 07:53:00
2012-01-02 08:53:00,Clear,2012-01-02 16:53:00<br />,-2.8,,-,44,,1013.9,8.9,,8:53 AM,16.1,Variable,7.4,0,2012-01-02 08:53:00
2012-01-02 09:53:00,Scattered Clouds,2012-01-02 17:53:00<br />,-1.1,,-,56,,1014.8,7.2,,9:53 AM,16.1,South,7.4,180,2012-01-02 09:53:00
2012-01-02 10:53:00,Partly Cloudy,2012-01-02 18:53:00<br />,-2.2,,-,46,,1014.0,8.9,,10:53 AM,16.1,South,18.5,180,2012-01-02 10:53:00
2012-01-02 11:53:00,Clear,2012-01-02 19:53:00<br />,-1.1,,38.9,50,,1014.0,8.9,,11:53 AM,16.1,South,31.5,180,2012-01-02 11:53:00
2012-01-02 12:53:00,Mostly Cloudy,2012-01-02 20:53:00<br />,-1.1,,44.4,46,,1013.7,10.0,,12:53 PM,16.1,South,29.6,180,2012-01-02 12:53:00
2012-01-02 13:53:00,Mostly Cloudy,2012-01-02 21:53:00<br />,0.0,,-,54,0.0,1013.7,8.9,,1:53 PM,16.1,SSE,11.1,150,2012-01-02 13:53:00
2012-01-02 14:53:00,Light Rain,2012-01-02 22:53:00<br />,1.1,Rain,-,54,0.01,1012.3,10.0,,2:53 PM,16.1,SSE,27.8,160,2012-01-02 14:53:00
2012-01-02 15:53:00,Light Rain,2012-01-02 23:53:00<br />,3.9,Rain,-,74,0.07,1012.8,8.3,,3:53 PM,9.7,SSE,22.2,160,2012-01-02 15:53:00
2012-01-02 16:53:00,Light Rain,2012-01-03 00:53:00<br />,5.6,Rain,42.6,86,0.12,1012.2,7.8,,4:53 PM,14.5,SSE,33.3,150,2012-01-02 16:53:00
2012-01-02 17:36:00,Light Rain,2012-01-03 01:36:00<br />,7.0,Rain,46.3,87,0.05,1011.4,9.0,,5:36 PM,16.1,SSE,25.9,160,2012-01-02 17:36:00
2012-01-02 17:53:00,Light Rain,2012-01-03 01:53:00<br />,6.7,Rain,55.6,83,0.05,1011.9,9.4,,5:53 PM,16.1,South,33.3,170,2012-01-02 17:53:00
2012-01-02 18:53:00,Overcast,2012-01-03 02:53:00<br />,6.7,,81.5,83,0.0,1013.4,9.4,,6:53 PM,16.1,SSW,61.1,200,2012-01-02 18:53:00
2012-01-02 19:00:00,Overcast,2012-01-03 03:00:00<br />,7.0,,85.2,87,,1013.8,9.0,,7:00 PM,16.1,SSW,55.6,200,2012-01-02 19:00:00
2012-01-02 19:34:00,Scattered Clouds,2012-01-03 03:34:00<br />,7.0,,85.2,87,0.01,1015.1,9.0,,7:34 PM,16.1,SSW,55.6,200,2012-01-02 19:34:00
2012-01-02 19:50:00,Mostly Cloudy,2012-01-03 03:50:00<br />,7.0,,70.4,87,0.01,1016.5,9.0,,7:50 PM,16.1,SSW,51.9,200,2012-01-02 19:50:00
2012-01-02 19:53:00,Mostly Cloudy,2012-01-03 03:53:00<br />,6.7,,70.4,83,0.01,1016.9,9.4,,7:53 PM,16.1,SSW,48.2,200,2012-01-02 19:53:00
2012-01-02 20:42:00,Scattered Clouds,2012-01-03 04:42:00<br />,6.0,,68.5,82,,1017.5,9.0,,8:42 PM,16.1,SSW,53.7,200,2012-01-02 20:42:00
2012-01-02 20:53:00,Scattered Clouds,2012-01-03 04:53:00<br />,5.6,,68.5,77,,1018.3,9.4,,8:53 PM,16.1,South,51.9,190,2012-01-02 20:53:00
2012-01-02 21:53:00,Clear,2012-01-03 05:53:00<br />,4.4,,-,74,,1020.4,8.9,,9:53 PM,16.1,South,33.3,180,2012-01-02 21:53:00
2012-01-02 22:53:00,Clear,2012-01-03 06:53:00<br />,4.4,,63.0,74,,1021.7,8.9,,10:53 PM,16.1,South,38.9,180,2012-01-02 22:53:00
2012-01-02 23:53:00,Clear,2012-01-03 07:53:00<br />,4.4,,50.0,77,,1022.3,8.3,,11:53 PM,16.1,SSW,38.9,200,2012-01-02 23:53:00
2012-01-03 00:53:00,Clear,2012-01-03 08:53:00<br />,3.9,,40.7,74,,1023.8,8.3,,12:53 AM,16.1,South,29.6,190,2012-01-03 00:53:00
2012-01-03 01:53:00,Clear,2012-01-03 09:53:00<br />,3.9,,-,76,,1024.5,7.8,,1:53 AM,16.1,SSE,11.1,150,2012-01-03 01:53:00
2012-01-03 02:53:00,Clear,2012-01-03 10:53:00<br />,3.9,,-,74,,1024.9,8.3,,2:53 AM,16.1,SSE,24.1,160,2012-01-03 02:53:00
2012-01-03 03:53:00,Clear,2012-01-03 11:53:00<br />,4.4,,-,79,,1024.7,7.8,,3:53 AM,16.1,SSE,24.1,160,2012-01-03 03:53:00
2012-01-03 04:53:00,Clear,2012-01-03 12:53:00<br />,4.4,,-,77,,1024.7,8.3,,4:53 AM,16.1,SSE,24.1,160,2012-01-03 04:53:00
2012-01-03 06:53:00,Overcast,2012-01-03 14:53:00<br />,4.4,,-,74,,1024.7,8.9,,6:53 AM,16.1,Variable,9.3,0,2012-01-03 06:53:00
2012-01-03 07:53:00,Overcast,2012-01-03 15:53:00<br />,4.4,,-,74,,1025.0,8.9,,7:53 AM,16.1,SE,9.3,140,2012-01-03 07:53:00
2012-01-03 08:53:00,Light Rain,2012-01-03 16:53:00<br />,5.0,Rain,-,77,0.0,1024.8,8.9,,8:53 AM,12.9,SSE,14.8,150,2012-01-03 08:53:00
2012-01-03 09:53:00,Light Rain,2012-01-03 17:53:00<br />,5.6,Rain,-,83,0.01,1025.5,8.3,,9:53 AM,6.4,SSE,13.0,150,2012-01-03 09:53:00
2012-01-03 10:53:00,Overcast,2012-01-03 18:53:00<br />,5.6,,-,80,0.0,1025.3,8.9,,10:53 AM,16.1,SSE,14.8,150,2012-01-03 10:53:00
2012-01-03 11:34:00,Overcast,2012-01-03 19:34:00<br />,6.0,,38.9,82,0.0,1024.6,9.0,,11:34 AM,16.1,South,24.1,170,2012-01-03 11:34:00
2012-01-03 11:53:00,Mostly Cloudy,2012-01-03 19:53:00<br />,6.1,,37.0,77,0.0,1024.8,10.0,,11:53 AM,16.1,SSE,22.2,160,2012-01-03 11:53:00
2012-01-03 12:07:00,Overcast,2012-01-03 20:07:00<br />,6.0,,38.9,76,,1024.6,10.0,,12:07 PM,16.1,South,25.9,170,2012-01-03 12:07:00
2012-01-03 12:41:00,Overcast,2012-01-03 20:41:00<br />,6.0,,37.0,76,,1023.9,10.0,,12:41 PM,16.1,SSE,25.9,160,2012-01-03 12:41:00
2012-01-03 12:53:00,Overcast,2012-01-03 20:53:00<br />,6.0,,38.9,71,,1023.9,11.0,,12:53 PM,16.1,SSE,20.4,160,2012-01-03 12:53:00
2012-01-03 13:53:00,Overcast,2012-01-03 21:53:00<br />,6.1,,-,74,,1024.0,10.6,,1:53 PM,16.1,SSE,16.7,160,2012-01-03 13:53:00
2012-01-03 14:10:00,Overcast,2012-01-03 22:10:00<br />,6.0,,-,71,,1023.6,11.0,,2:10 PM,16.1,SSE,18.5,150,2012-01-03 14:10:00
2012-01-03 14:53:00,Overcast,2012-01-03 22:53:00<br />,6.1,,-,74,0.0,1023.4,10.6,,2:53 PM,16.1,SSE,18.5,160,2012-01-03 14:53:00
2012-01-03 14:55:00,Overcast,2012-01-03 22:55:00<br />,6.0,,-,71,,1023.2,11.0,,2:55 PM,16.1,SSE,18.5,160,2012-01-03 14:55:00
2012-01-03 15:53:00,Overcast,2012-01-03 23:53:00<br />,6.1,,-,74,,1023.1,10.6,,3:53 PM,16.1,SSE,16.7,160,2012-01-03 15:53:00
2012-01-03 16:53:00,Light Rain,2012-01-04 00:53:00<br />,6.7,Rain,-,80,0.0,1023.2,10.0,,4:53 PM,16.1,South,13.0,170,2012-01-03 16:53:00
2012-01-03 17:53:00,Overcast,2012-01-04 01:53:00<br />,6.7,,-,77,0.0,1023.2,10.6,,5:53 PM,16.1,South,16.7,170,2012-01-03 17:53:00
2012-01-03 18:53:00,Overcast,2012-01-04 02:53:00<br />,7.2,,-,83,0.0,1024.0,10.0,,6:53 PM,16.1,SSE,14.8,160,2012-01-03 18:53:00
2012-01-03 19:53:00,Overcast,2012-01-04 03:53:00<br />,6.7,,27.8,80,,1023.4,10.0,,7:53 PM,16.1,SSE,18.5,150,2012-01-03 19:53:00
2012-01-03 20:53:00,Partly Cloudy,2012-01-04 04:53:00<br />,6.1,,-,74,,1022.7,10.6,,8:53 PM,16.1,SSE,22.2,160,2012-01-03 20:53:00
2012-01-03 21:53:00,Mostly Cloudy,2012-01-04 05:53:00<br />,5.0,,-,71,,1022.1,10.0,,9:53 PM,16.1,South,20.4,170,2012-01-03 21:53:00
2012-01-03 22:53:00,Partly Cloudy,2012-01-04 06:53:00<br />,3.9,,-,66,,1021.8,10.0,,10:53 PM,16.1,SSE,20.4,160,2012-01-03 22:53:00
2012-01-03 23:53:00,Clear,2012-01-04 07:53:00<br />,4.0,,-,71,,1021.2,9.0,,11:53 PM,16.1,South,11.1,170,2012-01-03 23:53:00
