timestamp,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeMDT,TimeMST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,timestamp
2012-01-01 00:56:00,Scattered Clouds,2012-01-01 07:56:00<br />,-10.0,,-,41.0,,1028.1,2.2,,12:56 AM,16.1,NE,14.8,40,2012-01-01 00:56:00
2012-01-01 01:56:00,Partly Cloudy,2012-01-01 08:56:00<br />,-10.0,,-,44.0,,1028.5,1.1,,1:56 AM,16.1,SW,7.4,230,2012-01-01 01:56:00
2012-01-01 02:56:00,Partly Cloudy,2012-01-01 09:56:00<br />,-9.4,,-,48.0,,1029.5,0.6,,2:56 AM,16.1,NW,5.6,310,2012-01-01 02:56:00
2012-01-01 03:56:00,Partly Cloudy,2012-01-01 10:56:00<br />,-8.9,,-,56.0,,1030.3,-1.1,,3:56 AM,16.1,North,9.3,10,2012-01-01 03:56:00
2012-01-01 04:56:00,Clear,2012-01-01 11:56:00<br />,-9.4,,-,54.0,,1031.3,-1.1,,4:56 AM,16.1,North,13.0,360,2012-01-01 04:56:00
2012-01-01 05:56:00,Clear,2012-01-01 12:56:00<br />,-9.4,,-,52.0,,1032.0,-0.6,,5:56 AM,16.1,North,13.0,360,2012-01-01 05:56:00
2012-01-01 06:56:00,Partly Cloudy,2012-01-01 13:56:00<br />,-8.9,,-,61.0,,1033.4,-2.2,,6:56 AM,16.1,NNW,5.6,340,2012-01-01 06:56:00
2012-01-01 07:56:00,Scattered Clouds,2012-01-01 14:56:00<br />,-8.9,,-,56.0,,1034.3,-1.1,,7:56 AM,16.1,North,14.8,350,2012-01-01 07:56:00
2012-01-01 08:56:00,Scattered Clouds,2012-01-01 15:56:00<br />,-9.4,,-,48.0,,1035.3,0.6,,8:56 AM,16.1,North,14.8,10,2012-01-01 08:56:00
2012-01-01 09:56:00,Partly Cloudy,2012-01-01 16:56:00<br />,-8.3,,-,43.0,,1035.5,3.3,,9:56 AM,16.1,Calm,Calm,0,2012-01-01 09:56:00
2012-01-01 10:56:00,Partly Cloudy,2012-01-01 17:56:00<br />,-8.9,,-,36.0,,1035.5,5.0,,10:56 AM,16.1,WNW,7.4,290,2012-01-01 10:56:00
2012-01-01 11:56:00,Partly Cloudy,2012-01-01 18:56:00<br />,-9.4,,-,30.0,,1034.2,7.2,,11:56 AM,16.1,Calm,Calm,0,2012-01-01 11:56:00
2012-01-01 12:56:00,Partly Cloudy,2012-01-01 19:56:00<br />,-11.7,,-,22.0,,1032.7,9.4,,12:56 PM,16.1,Variable,7.4,0,2012-01-01 12:56:00
2012-01-01 13:56:00,Partly Cloudy,2012-01-01 20:56:00<br />,-11.1,,-,21.0,,1032.2,10.6,,1:56 PM,16.1,Calm,Calm,0,2012-01-01 13:56:00
2012-01-01 14:56:00,Partly Cloudy,2012-01-01 21:56:00<br />,-11.1,,-,21.0,,1032.6,10.6,,2:56 PM,16.1,Calm,Calm,0,2012-01-01 14:56:00
2012-01-01 15:56:00,Partly Cloudy,2012-01-01 22:56:00<br />,-10.0,,-,24.0,,1033.3,10.0,,3:56 PM,16.1,Calm,Calm,0,2012-01-01 15:56:00
2012-01-01 16:56:00,Partly Cloudy,2012-01-01 23:56:00<br />,-8.9,,-,27.0,,1033.4,9.4,,4:56 PM,16.1,Calm,Calm,0,2012-01-01 16:56:00
2012-01-01 17:56:00,Clear,2012-01-02 00:56:00<br />,-7.2,,-,37.0,,1034.2,6.7,,5:56 PM,16.1,WNW,9.3,290,2012-01-01 17:56:00
2012-01-01 18:56:00,Clear,2012-01-02 01:56:00<br />,-7.2,,-,47.0,,1035.5,3.3,,6:56 PM,16.1,East,5.6,100,2012-01-01 18:56:00
2012-01-01 19:56:00,Clear,2012-01-02 02:56:00<br />,-7.2,,-,47.0,,1035.8,3.3,,7:56 PM,16.1,Calm,Calm,0,2012-01-01 19:56:00
2012-01-01 20:56:00,Clear,2012-01-02 03:56:00<br />,-7.8,,-,52.0,,1036.2,1.1,,8:56 PM,16.1,Calm,Calm,0,2012-01-01 20:56:00
2012-01-01 21:56:00,Clear,2012-01-02 04:56:00<br />,-7.8,,-,50.0,,1035.4,1.7,,9:56 PM,16.1,East,5.6,80,2012-01-01 21:56:00
2012-01-01 22:56:00,Clear,2012-01-02 05:56:00<br />,-6.7,,-,56.0,,1035.3,1.1,,10:56 PM,12.9,North,5.6,360,2012-01-01 22:56:00
2012-01-01 23:56:00,Clear,2012-01-02 06:56:00<br />,-8.3,,-,48.0,,1034.9,1.7,,11:56 PM,16.1,North,13.0,360,2012-01-01 23:56:00
2012-01-02 00:56:00,Partly Cloudy,2012-01-02 07:56:00<br />,-7.8,,-,56.0,,1035.0,0.0,,12:56 AM,16.1,Calm,Calm,0,2012-01-02 00:56:00
2012-01-02 01:56:00,Partly Cloudy,2012-01-02 08:56:00<br />,-7.2,,-,54.0,,1034.4,1.1,,1:56 AM,16.1,North,11.1,360,2012-01-02 01:56:00
2012-01-02 02:56:00,Partly Cloudy,2012-01-02 09:56:00<br />,-7.2,,-,61.0,,1035.3,-0.6,,2:56 AM,16.1,North,7.4,10,2012-01-02 02:56:00
2012-01-02 03:56:00,Partly Cloudy,2012-01-02 10:56:00<br />,-7.2,,-,64.0,,1035.5,-1.1,,3:56 AM,16.1,North,7.4,10,2012-01-02 03:56:00
2012-01-02 04:56:00,Clear,2012-01-02 11:56:00<br />,-7.8,,-,64.0,,1035.7,-1.7,,4:56 AM,16.1,North,11.1,350,2012-01-02 04:56:00
2012-01-02 05:56:00,Clear,2012-01-02 12:56:00<br />,-8.3,,-,59.0,,1036.4,-1.1,,5:56 AM,16.1,North,14.8,360,2012-01-02 05:56:00
2012-01-02 06:56:00,Clear,2012-01-02 13:56:00<br />,-8.3,,-,61.0,,1037.7,-1.7,,6:56 AM,16.1,North,16.7,10,2012-01-02 06:56:00
2012-01-02 07:56:00,Clear,2012-01-02 14:56:00<br />,-8.9,,-,56.0,,1038.6,-1.1,,7:56 AM,16.1,North,11.1,360,2012-01-02 07:56:00
2012-01-02 08:56:00,Clear,2012-01-02 15:56:00<br />,-8.3,,-,54.0,,1040.1,0.0,,8:56 AM,16.1,NNW,9.3,330,2012-01-02 08:56:00
2012-01-02 09:56:00,Clear,2012-01-02 16:56:00<br />,-8.3,,-,48.0,,1039.9,1.7,,9:56 AM,16.1,Calm,Calm,0,2012-01-02 09:56:00
2012-01-02 10:56:00,Clear,2012-01-02 17:56:00<br />,-8.3,,-,41.0,,1038.9,3.9,,10:56 AM,16.1,Calm,Calm,0,2012-01-02 10:56:00
2012-01-02 11:56:00,Clear,2012-01-02 18:56:00<br />,-7.8,,-,38.0,,1036.9,5.6,,11:56 AM,16.1,SSW,5.6,200,2012-01-02 11:56:00
2012-01-02 12:56:00,Partly Cloudy,2012-01-02 19:56:00<br />,-8.9,,-,32.0,,1036.3,6.7,,12:56 PM,16.1,Calm,Calm,0,2012-01-02 12:56:00
2012-01-02 13:56:00,Clear,2012-01-02 20:56:00<br />,-8.9,,-,29.0,,1034.6,8.3,,1:56 PM,16.1,Variable,7.4,0,2012-01-02 13:56:00
2012-01-02 14:56:00,Clear,2012-01-02 21:56:00<br />,-10.6,,-,24.0,,1034.5,9.4,,2:56 PM,16.1,Calm,Calm,0,2012-01-02 14:56:00
2012-01-02 15:56:00,Clear,2012-01-02 22:56:00<br />,-10.6,,-,24.0,,1034.0,9.4,,3:56 PM,16.1,SSW,5.6,210,2012-01-02 15:56:00
2012-01-02 16:56:00,Clear,2012-01-02 23:56:00<br />,-10.0,,-,26.0,,1034.0,8.9,,4:56 PM,16.1,Calm,Calm,0,2012-01-02 16:56:00
2012-01-02 17:56:00,Clear,2012-01-03 00:56:00<br />,-10.0,,-,32.0,,1034.7,5.6,,5:56 PM,16.1,SE,5.6,140,2012-01-02 17:56:00
