timestamp,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeEDT,TimeEST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,timestamp
2015-01-01 00:53:00,Clear,2015-01-01 05:53:00<br />,-12.2,,-,58.0,,1021.4,-5.0,,12:53 AM,14.5,SW,7.4,230,2015-01-01 00:53:00
2015-01-01 01:53:00,Clear,2015-01-01 06:53:00<br />,-13.3,,-,49.0,,1021.2,-3.9,,1:53 AM,16.1,West,11.1,260,2015-01-01 01:53:00
2015-01-01 02:53:00,Clear,2015-01-01 07:53:00<br />,-13.9,,-,46.0,,1020.9,-3.9,,2:53 AM,16.1,SW,9.3,230,2015-01-01 02:53:00
2015-01-01 03:53:00,Clear,2015-01-01 08:53:00<br />,-13.9,,-,44.0,,1020.5,-3.3,,3:53 AM,16.1,WSW,13.0,250,2015-01-01 03:53:00
2015-01-01 04:53:00,Clear,2015-01-01 09:53:00<br />,-13.9,,-,44.0,,1020.4,-3.3,,4:53 AM,16.1,WSW,9.3,240,2015-01-01 04:53:00
2015-01-01 05:53:00,Clear,2015-01-01 10:53:00<br />,-13.9,,-,44.0,,1021.0,-3.3,,5:53 AM,16.1,WSW,9.3,250,2015-01-01 05:53:00
2015-01-01 06:53:00,Clear,2015-01-01 11:53:00<br />,-13.9,,-,46.0,,1021.3,-3.9,,6:53 AM,16.1,SW,11.1,230,2015-01-01 06:53:00
2015-01-01 07:53:00,Clear,2015-01-01 12:53:00<br />,-13.9,,-,46.0,,1021.3,-3.9,,7:53 AM,16.1,SW,9.3,230,2015-01-01 07:53:00
2015-01-01 08:53:00,Clear,2015-01-01 13:53:00<br />,-13.9,,-,40.0,,1021.8,-1.7,,8:53 AM,16.1,WSW,13.0,250,2015-01-01 08:53:00
2015-01-01 09:53:00,Clear,2015-01-01 14:53:00<br />,-14.4,,29.6,34.0,,1021.8,0.0,,9:53 AM,16.1,WSW,22.2,250,2015-01-01 09:53:00
2015-01-01 10:53:00,Clear,2015-01-01 15:53:00<br />,-13.9,,35.2,32.0,,1021.1,1.1,,10:53 AM,16.1,SW,24.1,230,2015-01-01 10:53:00
2015-01-01 11:53:00,Clear,2015-01-01 16:53:00<br />,-13.3,,40.7,31.0,,1019.5,2.2,,11:53 AM,16.1,West,25.9,260,2015-01-01 11:53:00
2015-01-01 12:53:00,Clear,2015-01-01 17:53:00<br />,-12.2,,42.6,32.0,,1017.8,3.3,,12:53 PM,16.1,WSW,22.2,250,2015-01-01 12:53:00
2015-01-01 13:53:00,Clear,2015-01-01 18:53:00<br />,-11.7,,35.2,31.0,,1016.5,4.4,,1:53 PM,16.1,WSW,22.2,240,2015-01-01 13:53:00
2015-01-01 14:53:00,Clear,2015-01-01 19:53:00<br />,-12.2,,40.7,29.0,,1015.7,4.4,,2:53 PM,16.1,SW,22.2,230,2015-01-01 14:53:00
2015-01-01 15:53:00,Clear,2015-01-01 20:53:00<br />,-11.7,,42.6,32.0,,1015.7,3.9,,3:53 PM,16.1,SW,24.1,230,2015-01-01 15:53:00
2015-01-01 16:53:00,Clear,2015-01-01 21:53:00<br />,-10.6,,42.6,37.0,,1015.9,2.8,,4:53 PM,16.1,SW,18.5,230,2015-01-01 16:53:00
2015-01-01 17:53:00,Clear,2015-01-01 22:53:00<br />,-10.0,,-,41.0,,1015.8,2.2,,5:53 PM,16.1,SW,14.8,230,2015-01-01 17:53:00
2015-01-01 18:53:00,Clear,2015-01-01 23:53:00<br />,-8.9,,-,46.0,,1015.6,1.7,,6:53 PM,16.1,SW,16.7,220,2015-01-01 18:53:00
2015-01-01 19:53:00,Clear,2015-01-02 00:53:00<br />,-8.3,,-,50.0,,1016.0,1.1,,7:53 PM,16.1,SW,16.7,230,2015-01-01 19:53:00
2015-01-01 20:53:00,Clear,2015-01-02 01:53:00<br />,-8.3,,-,46.0,,1015.8,2.2,,8:53 PM,16.1,WSW,13.0,240,2015-01-01 20:53:00
2015-01-01 21:53:00,Clear,2015-01-02 02:53:00<br />,-7.2,,-,52.0,,1016.2,1.7,,9:53 PM,16.1,WSW,13.0,240,2015-01-01 21:53:00
2015-01-01 22:53:00,Clear,2015-01-02 03:53:00<br />,-7.2,,-,54.0,,1017.1,1.1,,10:53 PM,16.1,West,9.3,260,2015-01-01 22:53:00
