timestamp,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeCEST,TimeCET,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,timestamp
2013-01-01 00:00:00,,2012-12-31 23:00:00<br />,-3.0,,,90.0,,1016.0,-2.0,,12:00 AM,,SE,1.9,130.0,2013-01-01 00:00:00
2013-01-01 00:20:00,Unknown,2012-12-31 23:20:00<br />,-4.0,,-,86.0,,1013.0,-2.0,,12:20 AM,7.0,NW,5.6,310.0,2013-01-01 00:20:00
2013-01-01 00:50:00,Unknown,2012-12-31 23:50:00<br />,-3.0,,-,93.0,,1013.0,-2.0,,12:50 AM,6.0,Variable,3.7,0.0,2013-01-01 00:50:00
2013-01-01 01:00:00,Mist,2013-01-01 00:00:00<br />,-4.0,,,91.0,,1016.0,-3.0,,1:00 AM,6.0,NE,3.7,40.0,2013-01-01 01:00:00
2013-01-01 01:50:00,Mist,2013-01-01 00:50:00<br />,-4.0,,-,93.0,,1012.0,-3.0,,1:50 AM,3.0,Variable,1.9,0.0,2013-01-01 01:50:00
2013-01-01 02:00:00,,2013-01-01 01:00:00<br />,-4.0,,,91.0,,1016.0,-4.0,,2:00 AM,,WNW,3.7,290.0,2013-01-01 02:00:00
2013-01-01 02:20:00,Patches of Fog,2013-01-01 01:20:00<br />,-4.0,Fog,-,93.0,,1012.0,-3.0,,2:20 AM,2.0,Variable,1.9,0.0,2013-01-01 02:20:00
2013-01-01 02:50:00,Mist,2013-01-01 01:50:00<br />,-4.0,,-,93.0,,1012.0,-3.0,,2:50 AM,2.5,ESE,5.6,120.0,2013-01-01 02:50:00
2013-01-01 03:00:00,,2013-01-01 02:00:00<br />,-4.0,,,87.0,,1015.0,-2.0,,3:00 AM,,SE,9.3,130.0,2013-01-01 03:00:00
2013-01-01 03:20:00,Mist,2013-01-01 02:20:00<br />,-4.0,,-,93.0,,1012.0,-3.0,,3:20 AM,3.0,SE,9.3,140.0,2013-01-01 03:20:00
2013-01-01 03:50:00,Mist,2013-01-01 02:50:00<br />,-3.0,,-,93.0,,1012.0,-2.0,,3:50 AM,3.0,SE,9.3,130.0,2013-01-01 03:50:00
2013-01-01 04:20:00,Mist,2013-01-01 03:20:00<br />,-3.0,,-,86.0,,1012.0,-1.0,,4:20 AM,3.0,SE,13.0,130.0,2013-01-01 04:20:00
