timestamp,Conditions,Conditions<br />,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,Time,TimeBST,TimeGMT,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,timestamp
2014-12-01 05:50:00,Mostly Cloudy,,2014-12-01 05:50:00<br />,5.0,,-,87.0,,1013.0,7.0,,,5:50 AM,10.0,NNE,16.7,30.0,2014-12-01 05:50:00
2014-12-01 06:20:00,Mostly Cloudy,,2014-12-01 06:20:00<br />,4.0,,-,81.0,,1013.0,7.0,,,6:20 AM,10.0,NNE,14.8,20.0,2014-12-01 06:20:00
2014-12-01 06:50:00,Mostly Cloudy,,2014-12-01 06:50:00<br />,4.0,,-,81.0,,1014.0,7.0,,,6:50 AM,10.0,NNE,14.8,20.0,2014-12-01 06:50:00
2014-12-01 07:20:00,Mostly Cloudy,,2014-12-01 07:20:00<br />,4.0,,-,81.0,,1014.0,7.0,,,7:20 AM,10.0,NNE,14.8,20.0,2014-12-01 07:20:00
2014-12-01 07:50:00,Mostly Cloudy,,2014-12-01 07:50:00<br />,4.0,,-,81.0,,1014.0,7.0,,,7:50 AM,10.0,NNE,11.1,20.0,2014-12-01 07:50:00
2014-12-01 08:20:00,Mostly Cloudy,,2014-12-01 08:20:00<br />,4.0,,-,81.0,,1014.0,7.0,,,8:20 AM,10.0,NNE,11.1,30.0,2014-12-01 08:20:00
2014-12-01 08:50:00,Mostly Cloudy,,2014-12-01 08:50:00<br />,4.0,,-,81.0,,1014.0,7.0,,,8:50 AM,10.0,NNE,9.3,20.0,2014-12-01 08:50:00
2014-12-01 09:20:00,Mostly Cloudy,,2014-12-01 09:20:00<br />,3.0,,-,76.0,,1014.0,7.0,,,9:20 AM,10.0,NNE,13.0,30.0,2014-12-01 09:20:00
2014-12-01 09:50:00,Mostly Cloudy,,2014-12-01 09:50:00<br />,3.0,,-,76.0,,1014.0,7.0,,,9:50 AM,10.0,NE,16.7,40.0,2014-12-01 09:50:00
2014-12-01 10:20:00,Mostly Cloudy,,2014-12-01 10:20:00<br />,3.0,,-,76.0,,1014.0,7.0,,,10:20 AM,10.0,NNE,14.8,30.0,2014-12-01 10:20:00
2014-12-01 10:50:00,Mostly Cloudy,,2014-12-01 10:50:00<br />,3.0,,-,76.0,,1014.0,7.0,,,10:50 AM,10.0,NNE,14.8,30.0,2014-12-01 10:50:00
2014-12-01 11:20:00,Mostly Cloudy,,2014-12-01 11:20:00<br />,3.0,,-,76.0,,1014.0,7.0,,,11:20 AM,10.0,NNE,18.5,20.0,2014-12-01 11:20:00
2014-12-01 11:50:00,Overcast,,2014-12-01 11:50:00<br />,3.0,,-,76.0,,1014.0,7.0,,,11:50 AM,10.0,NE,14.8,40.0,2014-12-01 11:50:00
2014-12-01 12:20:00,Overcast,,2014-12-01 12:20:00<br />,4.0,,-,81.0,,1014.0,7.0,,,12:20 PM,10.0,NNE,11.1,20.0,2014-12-01 12:20:00
2014-12-01 12:50:00,Mostly Cloudy,,2014-12-01 12:50:00<br />,3.0,,-,76.0,,1014.0,7.0,,,12:50 PM,10.0,NNE,13.0,30.0,2014-12-01 12:50:00
2014-12-01 13:20:00,Mostly Cloudy,,2014-12-01 13:20:00<br />,3.0,,-,76.0,,1014.0,7.0,,,1:20 PM,10.0,NNE,9.3,30.0,2014-12-01 13:20:00
2014-12-01 13:50:00,Mostly Cloudy,,2014-12-01 13:50:00<br />,3.0,,-,76.0,,1013.0,7.0,,,1:50 PM,10.0,NNE,9.3,20.0,2014-12-01 13:50:00
2014-12-01 14:20:00,Mostly Cloudy,,2014-12-01 14:20:00<br />,4.0,,-,81.0,,1013.0,7.0,,,2:20 PM,10.0,North,13.0,10.0,2014-12-01 14:20:00
2014-12-01 14:50:00,Mostly Cloudy,,2014-12-01 14:50:00<br />,4.0,,-,81.0,,1013.0,7.0,,,2:50 PM,10.0,North,14.8,360.0,2014-12-01 14:50:00
2014-12-01 15:20:00,Mostly Cloudy,,2014-12-01 15:20:00<br />,4.0,,-,81.0,,1013.0,7.0,,,3:20 PM,10.0,North,13.0,10.0,2014-12-01 15:20:00
2014-12-01 15:50:00,Mostly Cloudy,,2014-12-01 15:50:00<br />,3.0,,-,76.0,,1013.0,7.0,,,3:50 PM,10.0,North,14.8,10.0,2014-12-01 15:50:00
2014-12-01 16:20:00,Mostly Cloudy,,2014-12-01 16:20:00<br />,3.0,,-,81.0,,1013.0,6.0,,,4:20 PM,10.0,NNE,11.1,30.0,2014-12-01 16:20:00
2014-12-01 16:50:00,Mostly Cloudy,,2014-12-01 16:50:00<br />,3.0,,-,81.0,,1013.0,6.0,,,4:50 PM,10.0,NNE,13.0,20.0,2014-12-01 16:50:00
2014-12-01 17:20:00,Mostly Cloudy,,2014-12-01 17:20:00<br />,3.0,,-,81.0,,1013.0,6.0,,,5:20 PM,10.0,NNE,11.1,20.0,2014-12-01 17:20:00
2014-12-01 17:50:00,Mostly Cloudy,,2014-12-01 17:50:00<br />,3.0,,-,81.0,,1013.0,6.0,,,5:50 PM,10.0,North,11.1,10.0,2014-12-01 17:50:00
2014-12-01 18:20:00,Mostly Cloudy,,2014-12-01 18:20:00<br />,3.0,,-,81.0,,1014.0,6.0,,,6:20 PM,10.0,NNE,7.4,20.0,2014-12-01 18:20:00
2014-12-01 18:50:00,Mostly Cloudy,,2014-12-01 18:50:00<br />,3.0,,-,81.0,,1013.0,6.0,,,6:50 PM,10.0,NE,7.4,50.0,2014-12-01 18:50:00
2014-12-01 19:20:00,Mostly Cloudy,,2014-12-01 19:20:00<br />,3.0,,-,81.0,,1014.0,6.0,,,7:20 PM,10.0,NNE,9.3,20.0,2014-12-01 19:20:00
2014-12-01 19:50:00,Mostly Cloudy,,2014-12-01 19:50:00<br />,3.0,,-,81.0,,1014.0,6.0,,,7:50 PM,10.0,NNE,7.4,20.0,2014-12-01 19:50:00
2014-12-01 20:20:00,Mostly Cloudy,,2014-12-01 20:20:00<br />,3.0,,-,81.0,,1014.0,6.0,,,8:20 PM,10.0,NNE,5.6,20.0,2014-12-01 20:20:00
