timestamp,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeBST,TimeGMT,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,timestamp
2014-12-01 00:20:00,Light Rain,2014-12-01 00:20:00<br />,8.0,Rain,-,93,,1013,9.0,,12:20 AM,9.0,NE,22.2,40,2014-12-01 00:20:00
2014-12-01 00:50:00,Mostly Cloudy,2014-12-01 00:50:00<br />,7.0,,-,87,,1013,9.0,,12:50 AM,10.0,NE,18.5,40,2014-12-01 00:50:00
2014-12-01 01:20:00,Mostly Cloudy,2014-12-01 01:20:00<br />,7.0,,-,87,,1013,9.0,,1:20 AM,10.0,NNE,16.7,30,2014-12-01 01:20:00
2014-12-01 01:50:00,Mostly Cloudy,2014-12-01 01:50:00<br />,6.0,,-,87,,1013,8.0,,1:50 AM,10.0,NE,24.1,40,2014-12-01 01:50:00
2014-12-01 02:20:00,Mostly Cloudy,2014-12-01 02:20:00<br />,6.0,,-,87,,1013,8.0,,2:20 AM,8.0,NE,20.4,40,2014-12-01 02:20:00
2014-12-01 02:50:00,Mostly Cloudy,2014-12-01 02:50:00<br />,6.0,,-,87,,1013,8.0,,2:50 AM,8.0,NNE,20.4,30,2014-12-01 02:50:00
2014-12-01 03:20:00,Mostly Cloudy,2014-12-01 03:20:00<br />,5.0,,-,81,,1013,8.0,,3:20 AM,8.0,NNE,20.4,30,2014-12-01 03:20:00
2014-12-01 03:50:00,Mostly Cloudy,2014-12-01 03:50:00<br />,5.0,,-,81,,1013,8.0,,3:50 AM,7.0,NNE,14.8,30,2014-12-01 03:50:00
2014-12-01 04:20:00,Mostly Cloudy,2014-12-01 04:20:00<br />,5.0,,-,87,,1013,7.0,,4:20 AM,8.0,NNE,16.7,20,2014-12-01 04:20:00
2014-12-01 04:50:00,Mostly Cloudy,2014-12-01 04:50:00<br />,5.0,,-,87,,1013,7.0,,4:50 AM,8.0,NNE,16.7,20,2014-12-01 04:50:00
