timestamp,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeEDT,TimeEST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,timestamp
2012-01-01 00:54:00,Clear,2012-01-01 05:54:00<br />,1.7,,-,86.0,,1020.0,3.9,,12:54 AM,16.1,Calm,Calm,0,2012-01-01 00:54:00
2012-01-01 01:54:00,Clear,2012-01-01 06:54:00<br />,0.0,,-,86.0,,1020.6,2.2,,1:54 AM,16.1,SSW,5.6,200,2012-01-01 01:54:00
2012-01-01 02:54:00,Clear,2012-01-01 07:54:00<br />,-1.1,,-,82.0,,1020.8,1.7,,2:54 AM,16.1,Calm,Calm,0,2012-01-01 02:54:00
2012-01-01 03:54:00,Clear,2012-01-01 08:54:00<br />,-1.7,,-,85.0,,1020.6,0.6,,3:54 AM,16.1,ENE,5.6,70,2012-01-01 03:54:00
2012-01-01 04:54:00,Clear,2012-01-01 09:54:00<br />,-2.2,,-,82.0,,1020.8,0.6,,4:54 AM,16.1,Calm,Calm,0,2012-01-01 04:54:00
2012-01-01 05:54:00,Clear,2012-01-01 10:54:00<br />,-2.2,,-,89.0,,1021.0,-0.6,,5:54 AM,16.1,Calm,Calm,0,2012-01-01 05:54:00
2012-01-01 06:54:00,Clear,2012-01-01 11:54:00<br />,-2.2,,-,85.0,,1021.5,0.0,,6:54 AM,16.1,Calm,Calm,0,2012-01-01 06:54:00
2012-01-01 07:54:00,Clear,2012-01-01 12:54:00<br />,-1.7,,-,88.0,,1021.7,0.0,,7:54 AM,16.1,Calm,Calm,0,2012-01-01 07:54:00
2012-01-01 08:54:00,Clear,2012-01-01 13:54:00<br />,3.0,,-,87.0,,1021.2,5.0,,8:54 AM,14.5,Calm,Calm,0,2012-01-01 08:54:00
2012-01-01 09:54:00,Clear,2012-01-01 14:54:00<br />,4.4,,-,68.0,,1020.8,10.0,,9:54 AM,16.1,SSE,13.0,160,2012-01-01 09:54:00
2012-01-01 10:54:00,Clear,2012-01-01 15:54:00<br />,3.9,,29.6,55.0,,1019.5,12.8,,10:54 AM,16.1,South,14.8,170,2012-01-01 10:54:00
2012-01-01 11:54:00,Clear,2012-01-01 16:54:00<br />,5.0,,33.3,53.0,,1017.5,14.4,,11:54 AM,16.1,South,22.2,180,2012-01-01 11:54:00
2012-01-01 12:54:00,Clear,2012-01-01 17:54:00<br />,6.0,,27.8,52.0,,1015.1,16.0,,12:54 PM,16.1,SSE,18.5,150,2012-01-01 12:54:00
2012-01-01 13:54:00,Clear,2012-01-01 18:54:00<br />,5.6,,-,53.0,,1014.0,15.0,,1:54 PM,16.1,SSE,18.5,160,2012-01-01 13:54:00
2012-01-01 14:54:00,Clear,2012-01-01 19:54:00<br />,5.6,,-,53.0,,1013.0,15.0,,2:54 PM,16.1,South,14.8,180,2012-01-01 14:54:00
2012-01-01 15:54:00,Clear,2012-01-01 20:54:00<br />,6.1,,-,58.0,,1011.8,14.4,,3:54 PM,16.1,SSE,22.2,160,2012-01-01 15:54:00
2012-01-01 16:54:00,Scattered Clouds,2012-01-01 21:54:00<br />,5.6,,-,60.0,,1010.0,13.3,,4:54 PM,16.1,SSE,22.2,160,2012-01-01 16:54:00
2012-01-01 17:54:00,Clear,2012-01-01 22:54:00<br />,6.1,,-,64.0,,1009.9,12.8,,5:54 PM,16.1,South,13.0,170,2012-01-01 17:54:00
2012-01-01 18:54:00,Overcast,2012-01-01 23:54:00<br />,6.1,,-,64.0,,1010.2,12.8,,6:54 PM,16.1,SSW,9.3,200,2012-01-01 18:54:00
2012-01-01 19:54:00,Overcast,2012-01-02 00:54:00<br />,6.1,,-,58.0,,1009.5,14.4,,7:54 PM,16.1,South,20.4,190,2012-01-01 19:54:00
2012-01-01 20:54:00,Mostly Cloudy,2012-01-02 01:54:00<br />,5.6,,-,56.0,,1008.9,14.4,,8:54 PM,16.1,SSW,16.7,210,2012-01-01 20:54:00
2012-01-01 21:54:00,Overcast,2012-01-02 02:54:00<br />,5.0,,-,51.0,,1008.8,15.0,,9:54 PM,16.1,SW,20.4,220,2012-01-01 21:54:00
2012-01-01 22:54:00,Scattered Clouds,2012-01-02 03:54:00<br />,6.0,,33.3,59.0,,1008.4,14.0,,10:54 PM,16.1,WSW,18.5,240,2012-01-01 22:54:00
2012-01-01 23:54:00,Scattered Clouds,2012-01-02 04:54:00<br />,6.0,,-,63.0,,1008.7,13.0,,11:54 PM,16.1,West,13.0,270,2012-01-01 23:54:00
2012-01-02 00:54:00,Mostly Cloudy,2012-01-02 05:54:00<br />,4.0,,-,58.0,,1009.0,12.0,,12:54 AM,16.1,WNW,11.1,300,2012-01-02 00:54:00
2012-01-02 01:54:00,Overcast,2012-01-02 06:54:00<br />,-0.6,,33.3,46.0,,1010.1,10.6,,1:54 AM,16.1,NW,20.4,310,2012-01-02 01:54:00
2012-01-02 02:54:00,Partly Cloudy,2012-01-02 07:54:00<br />,-2.2,,-,46.0,,1010.6,8.9,,2:54 AM,16.1,WNW,18.5,300,2012-01-02 02:54:00
2012-01-02 03:54:00,Mostly Cloudy,2012-01-02 08:54:00<br />,-2.2,,-,53.0,,1010.5,6.7,,3:54 AM,16.1,West,7.4,260,2012-01-02 03:54:00
