timestamp,Conditions,Conditions<br />,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,Time,TimeEDT,TimeEST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,timestamp
2012-01-01 01:00:00,Overcast,,2012-01-01 06:00:00<br />,1.0,,-,87.0,,1020.5,3.0,,,1:00 AM,16.1,Calm,Calm,0.0,2012-01-01 01:00:00
2012-01-01 01:18:00,Overcast,,2012-01-01 06:18:00<br />,2.0,,-,93.0,,1020.5,3.0,,,1:18 AM,16.1,SSW,5.6,210.0,2012-01-01 01:18:00
2012-01-01 01:39:00,Scattered Clouds,,2012-01-01 06:39:00<br />,2.0,,-,93.0,,1020.9,3.0,,,1:39 AM,16.1,Calm,Calm,0.0,2012-01-01 01:39:00
2012-01-01 01:57:00,Clear,,2012-01-01 06:57:00<br />,2.0,,-,93.0,,1020.9,3.0,,,1:57 AM,16.1,Calm,Calm,0.0,2012-01-01 01:57:00
2012-01-01 02:57:00,Clear,,2012-01-01 07:57:00<br />,1.0,,-,100.0,,1020.9,1.0,,,2:57 AM,16.1,Calm,Calm,0.0,2012-01-01 02:57:00
2012-01-01 03:15:00,Clear,,2012-01-01 08:15:00<br />,0.0,,-,93.0,,1020.5,1.0,,,3:15 AM,16.1,Calm,Calm,0.0,2012-01-01 03:15:00
2012-01-01 03:33:00,Clear,,2012-01-01 08:33:00<br />,0.0,,-,93.0,,1020.5,1.0,,,3:33 AM,16.1,Calm,Calm,0.0,2012-01-01 03:33:00
2012-01-01 03:54:00,Clear,,2012-01-01 08:54:00<br />,0.0,,-,93.0,,1020.2,1.0,,,3:54 AM,16.1,Calm,Calm,0.0,2012-01-01 03:54:00
2012-01-01 04:12:00,Clear,,2012-01-01 09:12:00<br />,0.0,,-,100.0,,1020.2,0.0,,,4:12 AM,11.3,Calm,Calm,0.0,2012-01-01 04:12:00
2012-01-01 04:33:00,Clear,,2012-01-01 09:33:00<br />,0.0,,-,100.0,,1020.2,0.0,,,4:33 AM,11.3,Calm,Calm,0.0,2012-01-01 04:33:00
2012-01-01 04:51:00,Clear,,2012-01-01 09:51:00<br />,0.0,,-,100.0,,1020.2,0.0,,,4:51 AM,11.3,Calm,Calm,0.0,2012-01-01 04:51:00
2012-01-01 05:12:00,Clear,,2012-01-01 10:12:00<br />,0.0,,-,100.0,,1020.2,0.0,,,5:12 AM,11.3,Calm,Calm,0.0,2012-01-01 05:12:00
2012-01-01 05:30:00,Clear,,2012-01-01 10:30:00<br />,0.0,,-,100.0,,1020.5,0.0,,,5:30 AM,11.3,Calm,Calm,0.0,2012-01-01 05:30:00
2012-01-01 05:48:00,Clear,,2012-01-01 10:48:00<br />,-1.0,,-,93.0,,1020.5,0.0,,,5:48 AM,11.3,Calm,Calm,0.0,2012-01-01 05:48:00
2012-01-01 06:09:00,Clear,,2012-01-01 11:09:00<br />,-1.0,,-,93.0,,1020.9,0.0,,,6:09 AM,11.3,Calm,Calm,0.0,2012-01-01 06:09:00
2012-01-01 06:27:00,Clear,,2012-01-01 11:27:00<br />,-1.0,,-,93.0,,1021.2,0.0,,,6:27 AM,11.3,Calm,Calm,0.0,2012-01-01 06:27:00
2012-01-01 06:48:00,Clear,,2012-01-01 11:48:00<br />,-1.0,,-,93.0,,1021.2,0.0,,,6:48 AM,11.3,Calm,Calm,0.0,2012-01-01 06:48:00
2012-01-01 07:06:00,Clear,,2012-01-01 12:06:00<br />,-1.0,,-,100.0,,1020.9,-1.0,,,7:06 AM,11.3,Calm,Calm,0.0,2012-01-01 07:06:00
2012-01-01 07:27:00,Clear,,2012-01-01 12:27:00<br />,-1.0,,-,100.0,,1020.9,-1.0,,,7:27 AM,8.0,Calm,Calm,0.0,2012-01-01 07:27:00
2012-01-01 07:45:00,Clear,,2012-01-01 12:45:00<br />,-1.0,,-,100.0,,1020.5,-1.0,,,7:45 AM,11.3,Calm,Calm,0.0,2012-01-01 07:45:00
2012-01-01 08:03:00,Clear,,2012-01-01 13:03:00<br />,-1.0,,-,100.0,,1020.5,-1.0,,,8:03 AM,8.0,Calm,Calm,0.0,2012-01-01 08:03:00
2012-01-01 08:24:00,Clear,,2012-01-01 13:24:00<br />,-1.0,,-,93.0,,1020.5,0.0,,,8:24 AM,11.3,Calm,Calm,0.0,2012-01-01 08:24:00
2012-01-01 08:42:00,Clear,,2012-01-01 13:42:00<br />,0.0,,-,100.0,,1020.2,0.0,,,8:42 AM,16.1,Calm,Calm,0.0,2012-01-01 08:42:00
2012-01-01 09:42:00,Clear,,2012-01-01 14:42:00<br />,3.0,,-,81.0,,1019.9,6.0,,,9:42 AM,16.1,SSE,5.6,160.0,2012-01-01 09:42:00
2012-01-01 10:00:00,Clear,,2012-01-01 15:00:00<br />,3.0,,-,71.0,,1019.5,8.0,,,10:00 AM,16.1,SSE,9.3,160.0,2012-01-01 10:00:00
2012-01-01 10:18:00,Scattered Clouds,,2012-01-01 15:18:00<br />,3.0,,-,66.0,,1019.2,9.0,,,10:18 AM,16.1,South,11.1,180.0,2012-01-01 10:18:00
2012-01-01 10:39:00,Clear,,2012-01-01 15:39:00<br />,2.0,,25.9,58.0,,1018.2,10.0,,,10:39 AM,16.1,South,16.7,180.0,2012-01-01 10:39:00
2012-01-01 10:57:00,Clear,,2012-01-01 15:57:00<br />,2.0,,29.6,58.0,,1017.8,10.0,,,10:57 AM,16.1,South,22.2,170.0,2012-01-01 10:57:00
2012-01-01 11:18:00,Clear,,2012-01-01 16:18:00<br />,3.0,,27.8,58.0,,1017.5,11.0,,,11:18 AM,16.1,SSW,14.8,200.0,2012-01-01 11:18:00
2012-01-01 11:36:00,Clear,,2012-01-01 16:36:00<br />,3.0,,27.8,58.0,,1016.5,11.0,,,11:36 AM,16.1,South,11.1,190.0,2012-01-01 11:36:00
2012-01-01 11:57:00,Clear,,2012-01-01 16:57:00<br />,3.0,,25.9,54.0,,1015.5,12.0,,,11:57 AM,16.1,South,16.7,170.0,2012-01-01 11:57:00
2012-01-01 12:54:00,Clear,,2012-01-01 17:54:00<br />,3.0,,-,51.0,,1013.4,13.0,,,12:54 PM,16.1,SSE,14.8,160.0,2012-01-01 12:54:00
2012-01-01 13:12:00,Clear,,2012-01-01 18:12:00<br />,3.0,,-,51.0,,1012.8,13.0,,,1:12 PM,16.1,South,14.8,190.0,2012-01-01 13:12:00
2012-01-01 13:51:00,Clear,,2012-01-01 18:51:00<br />,3.0,,-,45.0,,1011.7,15.0,,,1:51 PM,16.1,SSE,18.5,160.0,2012-01-01 13:51:00
2012-01-01 14:12:00,Scattered Clouds,,2012-01-01 19:12:00<br />,3.0,,27.8,45.0,,1011.7,15.0,,,2:12 PM,16.1,South,14.8,190.0,2012-01-01 14:12:00
2012-01-01 14:30:00,Mostly Cloudy,,2012-01-01 19:30:00<br />,3.0,,29.6,48.0,,1011.4,14.0,,,2:30 PM,16.1,SSW,18.5,210.0,2012-01-01 14:30:00
2012-01-01 15:27:00,Mostly Cloudy,,2012-01-01 20:27:00<br />,4.0,,-,54.0,,1008.7,13.0,,,3:27 PM,16.1,SE,16.7,130.0,2012-01-01 15:27:00
2012-01-01 15:48:00,Mostly Cloudy,,2012-01-01 20:48:00<br />,5.0,,-,58.0,,1010.0,13.0,,,3:48 PM,16.1,SSE,5.6,150.0,2012-01-01 15:48:00
2012-01-01 16:45:00,Overcast,,2012-01-01 21:45:00<br />,5.0,,-,67.0,,1010.7,11.0,,,4:45 PM,16.1,East,7.4,100.0,2012-01-01 16:45:00
2012-01-01 17:03:00,Overcast,,2012-01-01 22:03:00<br />,7.0,,-,82.0,,1010.4,10.0,,,5:03 PM,16.1,SE,11.1,140.0,2012-01-01 17:03:00
2012-01-01 17:24:00,Overcast,,2012-01-01 22:24:00<br />,7.0,,-,82.0,,1009.4,10.0,,,5:24 PM,16.1,ESE,9.3,120.0,2012-01-01 17:24:00
2012-01-01 17:42:00,Overcast,,2012-01-01 22:42:00<br />,7.0,,-,82.0,,1008.7,10.0,,,5:42 PM,16.1,SE,14.8,130.0,2012-01-01 17:42:00
2012-01-01 18:03:00,Mostly Cloudy,,2012-01-01 23:03:00<br />,7.0,,-,82.0,,1008.4,10.0,,,6:03 PM,16.1,Calm,Calm,0.0,2012-01-01 18:03:00
2012-01-01 18:21:00,Mostly Cloudy,,2012-01-01 23:21:00<br />,7.0,,-,93.0,,1008.7,8.0,,,6:21 PM,16.1,South,7.4,190.0,2012-01-01 18:21:00
2012-01-01 18:39:00,Mostly Cloudy,,2012-01-01 23:39:00<br />,7.0,,-,93.0,,1008.0,8.0,,,6:39 PM,16.1,South,5.6,180.0,2012-01-01 18:39:00
2012-01-01 19:18:00,Scattered Clouds,,2012-01-02 00:18:00<br />,6.0,,-,87.0,,1008.7,8.0,,,7:18 PM,16.1,SW,7.4,220.0,2012-01-01 19:18:00
2012-01-01 19:39:00,Overcast,,2012-01-02 00:39:00<br />,6.0,,27.8,76.0,,1009.0,10.0,,,7:39 PM,16.1,WSW,13.0,250.0,2012-01-01 19:39:00
2012-01-01 19:57:00,Overcast,,2012-01-02 00:57:00<br />,6.0,,-,71.0,,1008.7,11.0,,,7:57 PM,16.1,SW,9.3,220.0,2012-01-01 19:57:00
2012-01-01 20:18:00,Overcast,,2012-01-02 01:18:00<br />,7.0,,-,72.0,,1008.7,12.0,,,8:18 PM,16.1,WSW,14.8,240.0,2012-01-01 20:18:00
2012-01-01 20:36:00,Scattered Clouds,,2012-01-02 01:36:00<br />,7.0,,-,76.0,,1009.0,11.0,,,8:36 PM,16.1,West,11.1,260.0,2012-01-01 20:36:00
2012-01-01 20:54:00,Mostly Cloudy,,2012-01-02 01:54:00<br />,7.0,,-,76.0,,1009.4,11.0,,,8:54 PM,16.1,West,16.7,260.0,2012-01-01 20:54:00
2012-01-01 21:15:00,Mostly Cloudy,,2012-01-02 02:15:00<br />,6.0,,-,67.0,,1009.4,12.0,,,9:15 PM,16.1,West,14.8,280.0,2012-01-01 21:15:00
2012-01-01 21:33:00,Scattered Clouds,,2012-01-02 02:33:00<br />,5.0,,38.9,67.0,,1009.7,11.0,,,9:33 PM,16.1,West,25.9,280.0,2012-01-01 21:33:00
2012-01-01 21:54:00,Clear,,2012-01-02 02:54:00<br />,3.0,,44.4,58.0,,1009.7,11.0,,,9:54 PM,16.1,WNW,25.9,290.0,2012-01-01 21:54:00
2012-01-01 22:12:00,Clear,,2012-01-02 03:12:00<br />,0.0,,31.5,50.0,,1009.7,10.0,,,10:12 PM,16.1,West,18.5,280.0,2012-01-01 22:12:00
2012-01-01 22:33:00,Clear,,2012-01-02 03:33:00<br />,0.0,,33.3,50.0,,1009.7,10.0,,,10:33 PM,16.1,West,22.2,280.0,2012-01-01 22:33:00
2012-01-01 22:51:00,Clear,,2012-01-02 03:51:00<br />,-1.0,,38.9,50.0,,1010.0,9.0,,,10:51 PM,16.1,WNW,20.4,290.0,2012-01-01 22:51:00
